"Microrregiao" "SEXO" "IDADE.CAT" "tot.pop"
31038 0 0 14914
31038 0 1 17245
31038 1 0 14953
31038 1 1 16096
31039 0 0 129872
31039 0 1 140252
31039 1 0 131117
31039 1 1 125540
31040 0 0 61682
31040 0 1 65461
31040 1 0 63042
31040 1 1 63236
31041 0 0 34547
31041 0 1 41048
31041 1 0 35150
31041 1 1 38659
31042 0 0 17298
31042 0 1 23232
31042 1 0 18239
31042 1 1 22874
31043 0 0 115987
31043 0 1 126937
31043 1 0 121434
31043 1 1 119115
31044 0 0 32820
31044 0 1 43499
31044 1 0 34365
31044 1 1 41487
31045 0 0 24520
31045 0 1 31760
31045 1 0 25029
31045 1 1 30453
31046 0 0 28556
31046 0 1 34675
31046 1 0 29287
31046 1 1 33463
31047 0 0 51417
31047 0 1 60892
31047 1 0 54099
31047 1 1 60004
31048 0 0 59873
31048 0 1 71284
31048 1 0 63872
31048 1 1 70748
31049 0 0 52199
31049 0 1 60277
31049 1 0 53710
31049 1 1 59170
31050 0 0 105421
31050 0 1 115980
31050 1 0 107913
31050 1 1 111746
31051 0 0 75817
31051 0 1 96768
31051 1 0 77536
31051 1 1 91934
31052 0 0 73915
31052 0 1 87363
31052 1 0 77842
31052 1 1 87305
31053 0 0 32418
31053 0 1 36553
31053 1 0 33805
31053 1 1 37394
31054 0 0 47050
31054 0 1 58546
31054 1 0 48143
31054 1 1 54554
31055 0 0 16068
31055 0 1 20655
31055 1 0 16372
31055 1 1 20775
31056 0 0 43256
31056 0 1 51329
31056 1 0 44917
31056 1 1 49691
31057 0 0 34724
31057 0 1 41319
31057 1 0 35390
31057 1 1 38236
31058 0 0 40135
31058 0 1 52588
31058 1 0 41250
31058 1 1 48723
31059 0 0 50310
31059 0 1 63843
31059 1 0 51229
31059 1 1 56607
31060 0 0 42954
31060 0 1 52375
31060 1 0 43714
31060 1 1 48104
31061 0 0 70228
31061 0 1 66001
31061 1 0 72222
31061 1 1 65363
31062 0 0 52580
31062 0 1 58781
31062 1 0 53513
31062 1 1 56711
31063 0 0 64275
31063 0 1 74780
31063 1 0 65917
31063 1 1 71014
31064 0 0 62205
31064 0 1 72971
31064 1 0 64126
31064 1 1 70348
31065 0 0 161580
31065 0 1 217675
31065 1 0 163053
31065 1 1 186294
31066 0 0 47290
31066 0 1 63365
31066 1 0 47964
31066 1 1 57971
32001 0 0 21517
32001 0 1 22988
32001 1 0 22253
32001 1 1 22486
32002 0 0 30243
32002 0 1 31070
32002 1 0 31711
32002 1 1 31086
32003 0 0 46906
32003 0 1 54209
32003 1 0 47838
32003 1 1 50758
32004 0 0 13304
32004 0 1 13731
32004 1 0 13905
32004 1 1 13438
32005 0 0 50190
32005 0 1 43299
32005 1 0 50811
32005 1 1 41649
32006 0 0 80772
32006 0 1 73495
32006 1 0 82754
32006 1 1 71502
32007 0 0 31433
32007 0 1 33587
32007 1 0 32745
32007 1 1 34304
32008 0 0 24203
32008 0 1 27111
32008 1 0 25512
32008 1 1 27701
32009 0 0 391164
32009 0 1 416571
32009 1 0 394804
32009 1 1 362854
32010 0 0 44718
32010 0 1 48635
32010 1 0 45316
32010 1 1 46445
32011 0 0 39339
32011 0 1 39505
32011 1 0 40906
32011 1 1 38553
32012 0 0 78784
32012 0 1 89187
32012 1 0 80025
32012 1 1 84193
32013 0 0 18833
32013 0 1 18940
32013 1 0 19016
32013 1 1 18653
33001 0 0 43356
33001 0 1 56335
33001 1 0 44336
33001 1 1 51092
33002 0 0 26450
33002 0 1 35817
33002 1 0 27031
33002 1 1 33076
33003 0 0 141140
33003 0 1 161875
33003 1 0 142700
33003 1 1 142260
33004 0 0 66718
33004 0 1 65010
33004 1 0 67080
33004 1 1 62732
33005 0 0 35767
33005 0 1 44609
33005 1 0 36123
33005 1 1 39145
33006 0 0 14351
33006 0 1 17872
33006 1 0 14406
33006 1 1 16334
33007 0 0 50668
33007 0 1 69440
33007 1 0 51551
33007 1 1 61586
33008 0 0 6509
33008 0 1 7996
33008 1 0 6651
33008 1 1 8349
33009 0 0 39714
33009 0 1 42220
33009 1 0 40760
33009 1 1 39678
33010 0 0 127736
33010 0 1 146919
33010 1 0 129490
33010 1 1 134325
33011 0 0 155550
33011 0 1 196069
33011 1 0 156722
33011 1 1 171670
33012 0 0 39193
33012 0 1 52174
33012 1 0 39429
33012 1 1 44386
33013 0 0 52532
33013 0 1 50882
33013 1 0 52784
33013 1 1 50846
33014 0 0 36307
33014 0 1 47580
33014 1 0 36995
33014 1 1 42825
